reactant_000,reactant_001
COc1cc(Br)nc(C(=O)Nc2ccc(C)cc2)c1,Cc1cccc(O)c1
CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(B2OC(C)(C)C(C)(C)O2)c(C)c1,COC(=O)Cc1cncc(Br)c1
CCOC(=O)c1cc2ccncc2c(Cl)n1,Cc1[nH]c(C(=O)NC2CC[NH2+]CC2)c(Cl)c1Cl
CC(C)N1CCC(S)CC1,Cc1cccnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2
Cc1c[nH]cn1,N#Cc1cc(Br)ccc1F
CC(=O)OC1N=C(c2ccccc2F)c2cccc(Cl)c2NC1=O,O=C1NC(=O)c2ccccc21
BrCBr,Oc1cccc(Br)c1O
O=C([O-])C(F)(F)Cl,O=CCC1CCC(C(=O)OCc2ccccc2)CC1
COc1ncc(Br)cc1[C@]1(C)C[C@@H](C(F)(F)F)OC(N)=N1,NC(=O)c1ccc(Cl)cn1
CC1(C)[C@@H]2CC[C@@]1(C)c1[nH]n(-c3ccc(F)cc3F)c(=O)c12,FC(F)(F)c1ccccc1CBr
Nc1ccncc1N,O=C(O)c1cccc(Cl)n1
O=C(O)c1ccc(Br)o1,OB(O)c1ccccc1
Cn1ccc(NC(=O)c2cc(O)cc(OC3CCOCC3)c2)n1,O=C(c1ccc(Br)cn1)N1CCC1
CN1C(=O)Cc2c1ccc(-c1cncc(Br)c1)c2Cl,OB(O)c1cccnc1
CC(CCC#N)Cc1ccc(OCc2ccc(OCc3ccc4ccccc4n3)cc2)cc1,CN1NN=CN1CCCCc1ccc(OCc2ccc3ccccc3n2)cc1
CC(=O)c1ccc(C)cc1Cl,O=C1CCC(=O)N1Br
CC1(C)OB(c2ccncc2)OC1(C)C,COc1ccc(-c2nn(COCC[Si](C)(C)C)c3c2Cc2sc(Br)cc2-3)cc1
CC(C)(C)N1CCC(S)CC1,CC(C)n1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2
CCCc1cc2c(C(F)(F)F)c(C#N)ccc2n1CC(=N)NO,O=C(Cl)c1cnccc1Cl
C1CCCC2(CCC1)CO2,O=C1c2ccccc2C(=O)N1CCCc1cccc(O)c1
CC(C)(C#N)c1cc(B2OC(C)(C)C(C)(C)O2)ccn1,CN(Cc1ccc(-c2nnc(-c3nc(Br)cnc3N)o2)cc1)C(=O)OC(C)(C)C
Cc1cc(Br)c([N+](=O)[O-])cc1C(F)(F)F,N#C[Cu]
Cc1cc(F)ccc1-c1cc(Cl)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,OC[C@H]1NCC[C@@H]1O
CC(C)CBr,CCOC(=O)c1ccc(O)c(C#N)c1
CCOC(=O)C=Cc1ccc(F)cc1C,COc1ccc(C)c(O)c1
COc1ccc(C(=O)c2cc(OC)c(OC)cc2N)cc1OC,O=C(CCl)CCl
O=C(O)c1ccccc1I,Oc1ccc(F)cc1
C1CNCCN1,Clc1cccc(OCc2cccs2)n1
CCCCCCCCCCCCCCCCCCS,NC(=O)CCCCCCCCCCBr
Clc1ncccn1,O=Cc1cc(Cl)ccc1O
CCOC(=O)C(C)(C)Br,O=Cc1cc(Br)ccc1O
COC(=O)c1cc(-c2cnn(C3CCN(C)CC3)c2)cnc1N,Nc1c(F)cccc1Br
C[C@]1(OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)O[C@H](COC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,O=c1cc[nH]c(=O)[nH]1
Fc1cccc(-c2nc3c(Cl)cccc3nc2CBr)c1,O=C1NC(=O)c2ccccc21
CCN(CC)Cc1cc(C)cc(-n2nc3ccccc3n2)c1O,COc1ccc(C(=O)c2ccccc2)c(O)c1
COc1c(C(C)=O)cc(Cl)c(C)c1Br,CS(=O)(=O)c1cncc(B(O)O)c1
Fc1cc(I)ccn1,[C-]#N
CCN(CC)CCCl,O=[N+]([O-])c1ccc(O)cc1
CC(C)(C)OC(=O)c1cc[nH]c1,CCCCCCCCc1ccc(OCC(CBr)CC(=O)[O-])cc1
CN1C(=O)C2(CC(c3ccccc3)Oc3ccc(Br)cc32)N=C1N,OB(O)c1ccncc1
C=CC#N,COCc1nc2c(N)nc3cc(Br)ccc3c2n1CC(C)(C)O
CNC(=O)c1cc(C)ccc1Nc1nc(Cl)ncc1Cl,COCCN1CCc2ccc(N)cc2CC1
C[O-],Clc1ccc2c(Cl)cc(Cl)nc2c1
CCOP(=O)(Cc1ccc(Nc2ncc(C(F)(F)F)c(Cl)n2)c(OC)c1)OCC,CN1Cc2c(-c3cnn(CCCO)c3)ccc(N)c2C1=O
CCCCCCCCCCCCc1csc([Sn](C)(C)C)c1,Clc1c(Cl)c(Br)c2nsnc2c1Br
O=P(Cl)(Cl)Cl,Oc1ccnc2ccsc12
C#Cc1ccccn1,COC(=O)c1cnc(Cl)c(-c2ccc(Cl)cc2)c1
COC(=O)Cc1cc(-c2nnc(CC(C)C)o2)ccc1C,CSc1ncc(C=O)c(NC2CCCC2)n1
C[O-],ClCc1cc(Cl)c(OCc2ccccc2)cn1
CCC[C@H]1CC[C@H](c2ccc(O)cc2)CC1,FC(F)=C(F)F
Clc1ccnc(Cl)n1,O=S(=O)(c1ccccc1Cl)[C@H]1CCNC1
Oc1ncnc(O)c1Br,SCc1ccccc1
Brc1ccc(CN2CCN[C@@H](Cc3ccccc3)C2)cc1,OB(O)c1ccccc1C(F)(F)F
CCOC(=O)CN1CCC(c2nc3cc(-c4ccc(Cl)cc4Cl)nc(Cl)n3n2)CC1,NCCNc1ccc(C(=O)C(F)(F)F)c(N)n1
CC1(C)OC(=O)N([C@@H]2CC=C(c3cnc(F)c(-c4ncccn4)c3)CC2)C1c1ccccc1,CC1(C)OC(=O)N([C@H]2CC=C(c3cnc(F)c(-c4ncccn4)c3)CC2)C1c1ccccc1
N#Cc1cc(CCc2nc(=O)c(Cc3cncnc3)c[nH]2)ccc1F,Oc1ccc(Cl)c(C(F)(F)F)c1
C=COC(C)=O,O=C(N[C@@](Cc1ccccc1)(c1cc(F)cc(OC(F)(F)C(F)F)c1)c1ccc(F)c(O)c1)c1ccc(F)c(C(F)(F)F)c1
CC(=O)[O-],CCCCCCCCCCCCCCc1ccc(O)cc1
CCOC(=O)CCCn1c(Cl)nc2cccc(C(CC)CC)c21,COc1ccc(N)c(OC)c1
C#CCO,CCOC(=O)C1(CC)CCN(c2ncc(-c3cc(Br)c4sc(N5CN(C)CN(CC)C5=O)nc4c3)cn2)CC1
CN1C(=O)c2ccc(F)cc2OC1(C)C,COC[C@H](C)Oc1cc(O)cc(C(=O)Nc2ccn(C)n2)c1
Cc1cc(C)cc(-c2c(OCCC3CCCCN3C(=O)OC(C)(C)C)c3cc(N)c(Cl)cc3[nH]c2=O)c1,Clc1cnccn1
Brc1cccc(C#Cc2ccccc2)c1,OB(O)c1cccnc1
Cc1nc2c(OCc3c(F)cccc3F)cccn2c1C(=O)NC1(C#N)COC(C)(C)OC1,[N-]=[N+]=[N-]
Cc1cnc(N)s1,Fc1ccc(C(F)(F)c2nc(Cl)c3ccccc3n2)nc1
O=Cc1cc(F)c(F)c(F)c1,Oc1ccc(C(F)(F)F)nc1
CC(C)C1NCCNC1=O,CS(=O)(=O)OC[C@H]1CN(Cc2ccccc2)CCN1Cc1ccccc1
CCOC(=O)CCCBr,Oc1cccc(F)c1
BrCC1CC1,Cc1c([N+](=O)[O-])ccc(O)c1Cl
Brc1cnc2c(c1)OCCO2,C=C(OCC)[Sn](CCCC)(CCCC)CCCC
C[C@H](O)c1ccccc1Br,O=S([O-])c1ccc2cc(-c3ccc(F)cc3F)ccc2c1
COc1cccc(NN)c1,CSc1ccc(C=CC#N)cc1
CC(=O)[O-],COc1ccc(C(OC)(OC)C(C)Br)cc1
BrCCc1ccc(OCc2ccccc2)cc1,C[C@@]1(C(F)(F)F)Cn2c(nc(Cl)cc2=O)N1
COC(=O)CC(=O)OC,COc1ccccc1-c1ccc(F)c([N+](=O)[O-])c1
C=C(c1ccc(C2=NC(C)(C)CO2)cc1)c1cc(C(C)C)n(C(C)(C)C)n1,CCOC(C)=O
COC(=O)c1cc(OC)c(OCCCl)cc1N,N=CN
CC1(C)CO1,Cn1cc(Br)cc(Nc2ccc(N3CCNCC3)cn2)c1=O
CN(C)CCNC(=O)c1cccc2nc3ccc4c(O)cccc4c3nc12,N#CCBr
CCCc1nc(N)nc(N)c1N1CCNCC1,N#Cc1ccc(F)cc1
COc1ccc(CSc2nc(Cl)cc(Cl)n2)cc1,Cc1cc(N)n[nH]1
CCOC(=O)c1cc2cc(O)ccc2[nH]1,COc1cc2nccc(Cl)c2cc1OC
C[O-],Cc1cc(C(=O)c2cncn2C)cc2c(Cl)c(Cc3cccc(C(F)(F)F)c3)c(Cl)nc12
CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](n2cc(I)c3c(N)ncnc32)[C@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[Si](C)(C)C(C)(C)C,CCCC[Sn](CCCC)(CCCC)c1nccs1
O=C1NC(=O)C(Cc2ccc(O)cc2)S1,O=Cc1ccc(F)cc1
COCCBr,O=C1c2c(c[nH]c(=O)c2N2CCOCC2)CN1CCc1ccc2ccccc2n1
CC(C)(C)OC(=O)N1CC[C@H](O)[C@H]1CO,CS(=O)(=O)Cl
Cc1nc2cccc([N+](=O)[O-])c2c(=O)o1,NC1CCC(=O)NC1=O
CS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,Nc1ccc(CCO)cc1
NC(=O)c1ccc(Cl)nc1,OC1CCNC1
COC(=O)C(C=O)Cc1cnn(C)c1,N=C(N)OCCc1ccc(Oc2ccc(C(F)(F)F)nc2)cc1
CCCCCn1c(=O)n(CCCCC(=O)OCC)c(=O)c2[nH]c(Cl)nc21,[H]/N=C(/Cc1ccc(F)cc1Cl)NO
COC(=O)c1cnc(Cl)cn1,c1nc[nH]n1
Cc1cc([N+](=O)[O-])ccc1F,Oc1ccccc1
CCC(CC)c1ccc(Cl)c2nc3n(c12)CCCCN3c1ncc(Br)cc1C,CN1CCCC1=O
CN1C(=O)Cc2cc(-c3cncc(Br)c3)ccc21,OB(O)c1cccnc1
C[Zn+],Cc1noc(C)c1-c1ccc2nc(Cl)n3c2c1OCC3c1ccccn1
CC(=O)OCc1c(B2OC(C)(C)C(C)(C)O2)cccc1N1CCn2c(cc3c2CCCC3)C1=O,Cn1cc(Br)cc(Nc2ccc(C3CNC3)cn2)c1=O
Cc1ccc([N+](=O)[O-])cc1N,Clc1cc(Cl)ncn1
Fc1c(CBr)cccc1CBr,O=c1[nH]ccc(OCc2ccc(F)cc2F)c1Br
CCCC[Sn](C#N)(CCCC)CCCC,COc1cncc(-c2ncc(N3CCOCC3)cc2Nc2c(C)c(-c3cc(C)ccn3)nc3c(Cl)cccc23)c1
CN(C)C=O,Cc1cc(C)nc(Cl)n1
Clc1ccc(N2CCNCC2)cc1Cl,O=S(=O)(Nc1nccs1)c1ccc2c(Cl)nccc2c1
CCC(CC)c1cc(C)nn2c(I)c(C)nc12,Cc1sc2ccncc2c1Br
COC(=O)c1sc(N)c(C#N)c1-c1ccc(C(C)(C)C)cc1,ICI
C=COC(C)=O,OCc1ccc(Cc2cc(Br)ccc2Cl)cc1
CCCC[Sn](CCCC)(CCCC)c1ccccc1,CCOC(=O)c1nc(Br)c2c(c1O)c1ccccc1n2C
CN(C)C=O,COc1cc(Br)cc(CO)c1
Cc1ccc(S(=O)(=O)OC[C@@H]2COC(C)(C)O2)cc1,Ic1cn[nH]c1
CC(C)I,CC1(C)CC(=O)c2ccc(O)c(O)c2O1
CCc1cnc(Cl)nc1,O=C(N[C@H]1CCCN(C2CCNCC2)C1=O)OCc1ccccc1
CC(C)(C)OC(=O)N1CCC(Nc2cc(N)ncc2Br)CC1,COc1ccc(B(O)O)cc1
Nc1cccc(CNC(=O)C(F)(F)F)c1,O=C(Cc1cccs1)Nc1cccc(-c2nn3ccccc3c2-c2ccnc(Nc3cccc(-c4cnco4)c3)n2)c1
Fc1cccc(C(F)(F)CBr)c1,[N-]=[N+]=[N-]
Brc1ccccn1,Nc1ccccc1[N+](=O)[O-]
C[S-],Cc1ccc(S(=O)(=O)OC(C)C(C)n2c(C)c(C(=O)OC(C)(C)C)c3ccccc32)cc1
CCOC(=O)c1ncn(-c2ccccc2)c1N,ClC(=Nc1ccc(Br)cc1)c1ccc(Cl)cc1Cl
CC(=O)OC(C)=O,Nc1nn2c(-c3ccc(Cl)cc3)c(-c3ccccc3Cl)cnc2c1C(=O)NC1CCCC1
Cc1ccc(C(=O)Nc2ccc(CCN3CCCC3)cc2)cc1Br,Nc1nccc(-c2cccc(C(F)(F)F)c2)n1
Brc1cccnc1,COc1ccc(N(C(=O)CN2C(=O)C(Cc3nn(Cc4ccccc4)c4ccccc34)(OC)C(=O)Nc3ccccc32)C(C)C)cc1
Cc1cc2c3c(cc(C)c2[nH]c1=O)CC(C)(CBr)O3,[N-]=[N+]=[N-]
C=C(C)[C@@H]1CC[C@]2(N)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC7C(C6)C7C(=O)OCC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,ClCCCl
O=C(CCC(=O)C(CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1)c1ccccn1,[NH4+]
C=C(C)C(=O)OC,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(Br)cc1OCC2
C=Cc1cn(C(=O)OC(C)(C)C)cn1,Oc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(Br)cc2)cc1
CC1(C)COc2c(nc(Cl)nc2N2CCOCC2)O1,CN(C(=O)OC(C)(C)C)c1ccc(B2OC(C)(C)C(C)(C)O2)cn1
O=C(Nc1cccc2ccc(Cl)nc12)c1cscn1,OB(O)c1cccc(F)c1
C[O-],Cc1cc(C(=O)c2cncn2C)cc2c(Cl)c(Cc3ccc(S(C)(=O)=O)cc3)c(Cl)nc12
CSc1ccc(O)cc1,N#Cc1ccccc1F
N#CN,Nc1ccc(CCc2csc(NC(=O)OCc3ccccc3)n2)cc1
O=C(CCc1ccccc1)CN1C(=O)c2ccccc2Nc2ncccc21,[NH4+]
O=C(O)c1ccc(C2CC2)c(Cl)n1,OCC[C@H](O)C(F)(F)F
COc1ccc(N2CCCn3c2nc2c(Br)ccc(C(O)C(F)(F)F)c23)c(C)c1,C[O-]
Cn1nc(C#N)cc1-c1c(F)cccc1F,O=C(Cl)c1ccc(F)cc1Cl
Cc1cscc1Br,O=Cc1ccccc1B(O)O
NC(=O)c1nnc(Cl)cc1Nc1cccc(-n2ccnn2)n1,N[C@@H]1CCCC[C@@H]1N
COc1cc2c(cc1N1CCOCC1)CCC2=O,Cc1cc(C=O)[nH]n1
CCOC(=O)CC(=O)c1ccc2nn[nH]c2c1,COC(=O)c1n[nH]c(N)n1
C[S-],Clc1nc(N2CCOCC2)c2sc(CN3CCN(CC4CC4)CC3)cc2n1
COC(=O)c1cccc(Br)c1OC,OB(O)c1ccc(Cl)cc1
CC(=O)[O-],Clc1ccc(Br)cc1
C=Cc1cnccn1,C[Si](C)(C)CCOCn1nc(I)c2ccc(C=O)cc21
CC(C)(C)OC(=O)CCCCc1nc2cc(-c3cc(C4CC4)no3)ccc2c(=O)n1-c1ccc(F)cc1,NO
COC(OC)N(C)C,N#CCc1ccncc1
O=C(CCCCl)c1ccccc1,[N-]=[N+]=[N-]
C#Cc1ccccc1,Cc1cn2ccc(NC(=O)C(F)(F)F)c(I)c2n1
O=Cc1ccc(O)cc1,OCCCCCCCCCl
CC(C)(C)OC(=O)N1CC(CN)C1,Nc1cc2c(cc1[N+](=O)[O-])C(=O)NC2=O
O=C(O)CC(O)CCc1ccc(I)cc1,O=[N+]([O-])c1cccc(B(O)O)c1
CN(C)C=O,COC(=O)c1cccc2c(Br)c(OC)ccc12
C=C[Sn](CCCC)(CCCC)CCCC,CC(C)Oc1ccc(-c2onc3c2CCc2cc(Br)ccc2-3)cc1C#N
CC(O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2COS(C)(=O)=O)cc1)C(F)(F)F,CCC1COCCN1
COc1ccc(Cl)cc1-c1[nH]ncc1NC(=O)c1cnn2cccnc12,OC1(CI)CCCC1
Cc1cc2c(cn1)cc(-c1cc(N/C(N)=N/O)ccc1C)c(=O)n2C,Cc1ccc(C(=O)O)cn1
Brc1cc[nH+]cc1,OC1CCNC1
CC(C)(C)OC(=O)N1CCC(CO)C1,CC(C)N1CCN(C(=O)c2ccc3[nH]ccc3c2)CC1
O=C(c1ccc(Oc2ncccc2Br)cc1)c1nc2ccccc2[nH]1,O=C1C=CCC1
CC(=O)CCl,N#Cc1ccccc1O
CCOC(=O)CC(=O)OCC,Cc1ccc(C(=O)c2cc3ccccc3nc2N)cc1
CC(C)(C)OC(=O)N1CCc2cc(Br)cnc21,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C
BrCc1ccccc1,CCCC1(C)NS(=O)(=O)NC1=O
CC(=O)c1ncc2c(ccn2COCC[Si](C)(C)C)n1,CCN
CC(C)(C)OC(=O)c1ccc(F)cc1,N#Cc1cc2ccccc2[nH]1
CCN1CCc2sc(-c3cnc(F)c(-c4cc(Cl)ncc4N)c3)cc2C1,Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1
Nc1cccc(OCCCCl)c1,[NH4+]
CNC,COc1cc2c(Nc3ccc4cn[nH]c4c3)c(C#N)cnc2cc1OCCCl
O=C(N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)NCC(=O)c3ccc(Br)cc3)N2C1=O)OCc1ccccc1,[NH4+]
CC(C)(C)OC(=O)NCC1CCNCC1,Clc1nsnc1Cl
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C[C@@H]1OC(C)(C)N(C(=O)OCc2ccccc2)[C@H]1Cc1ccc(OC(=O)C(F)(F)F)cc1,CCCC[Sn](CCCC)(CCCC)c1cccnc1
CC(C)(C)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cc1[N+](=O)[O-],COc1nc(N)ncc1Br
Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,FC1CNC1
CC(C)[O-],N#Cc1ccc(O)c(O)c1
COc1ncc(C)cc1B(O)O,Cc1cc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc(Cl)c1C
CC(C)(C)[Si](C)(C)OC[C@@H]1C[C@@H](Nc2ncnc(Cl)c2F)C[C@@H]1O[Si](C)(C)C(C)(C)C,CC1(C)C[C@H](N)c2ccccc21
COc1cc2c(cc1N1CCOCC1)CCC2=O,O=Cc1cc(Cl)ccc1C(F)(F)F
C1CC(N2CCC(CC3CCNCC3)CC2)C1,CC(=O)c1ccc(F)cc1
CCOC(=O)Cc1cccnc1,COC(=O)c1cccnc1N
CC(C)(C)OC(=O)N(C(=O)OC(C)(C)C)c1nc(Cl)ccc1[N+](=O)[O-],OB(O)c1ccccc1
Cc1ccn2nc([C@H](C)Nc3ncnc(N)c3Br)n(-c3ccccc3)c(=O)c12,O=S(=O)(c1ccc(O)cc1F)n1ccc2c(O)cc(B(O)O)cc21
CCCCN1CCOc2c(Br)cc(C(=O)OC)cc21,N#C[Cu]C#N
CC(=O)[O-],CN(C)C(=O)c1ccc(-c2cnc(N)c(-c3nnc(-c4ccc(CBr)cc4)o3)n2)cc1
CC(C)(C)OC(=O)N1CCC(N2CC[C@H](N)C2=O)C(C)(C)C1,CS(=O)(=O)c1ccc(F)c(F)c1
C=C(OCC)[Sn](CCCC)(CCCC)CCCC,O[C@@H]1CCCC[C@H]1Nc1nc2ccc(Cn3cnc4cc(Br)cnc43)cc2s1
CCOC(=O)C(C(=O)OCC)=C(C)C,Nc1ccc(F)cc1
N=C(N)NN,NS(=O)(=O)c1ccc2c(=O)oc(Cc3ccc4c(c3)OCO4)nc2c1
CCOC(=O)c1ncc2nc(-c3ccc(F)cc3)sc2c1O,NCC(=O)O
CC(C)(C)NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(-c3n[nH]c4ccc(OC(F)F)cc34)nc12,COC(=O)CCCBr
O=C(O)c1cc(F)c([N+](=O)[O-])cc1Cl,[F-]
Ic1ccnc(Nc2ccc3c(c2)OCCO3)c1,OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
CN(C)C=O,COc1ccc2c(ccn2C)c1
FC(F)(F)c1cccc(-c2cnc3ccc(Cl)nn23)c1,N#C[C@H]1CC[C@H](N)CC1
CC(=O)CC(C)(C)N,COC(=O)CCC=O
CS(=O)(=O)OC[C@H]1CCN(C(=O)OCc2ccccc2)[C@@H](c2ccc(F)c(F)c2)C1,[F-]
COc1cc(CCCN2CCCCC2)ccc1N,COc1ccc(-c2nc3ccccn3c2-c2ccnc(Cl)n2)cc1C(=O)Nc1c(F)cccc1F
N#Cc1cnc(Nc2cc(N3CCNCC3)ncn2)s1,O=S1(=O)CC[NH+](CCCl)CC1
C=CC(=O)OCC,Nc1cnccc1Br
C[C@@H]1CCc2ncnc(N3CC4(CCNCC4)c4cc(Cl)ccc43)c21,O=C1c2ccccc2C(=O)N1CCCBr
CCOC(=O)c1ccc(F)c(F)c1,C[C@@H](CO)Oc1cc(O)cc(C(=O)Nc2ccn(C)n2)c1
Cn1ccnc1Sc1cc(F)cc(C#N)c1,Oc1ccc(I)cc1
COc1cc(-n2ccc(O)cc2=O)ccc1OCC(C)(C)O,ClCc1ccc(Cl)cc1
COC(=O)c1ccc(Br)cc1C,COc1ccc(O)cc1
CCOC(=O)C(C(=O)C1CCCCCC1)c1c(F)cc(F)cc1F,N=C(N)c1cnccn1
CC(C)(C)OC(=O)N1CCC2CNCC21,O=C(Nc1c[nH]c2ncc(Br)c(F)c12)c1cccnc1
CC(C)[Si](Cl)(C(C)C)C(C)C,COc1ccccc1O
Cc1c(F)cc(C(=O)O)cc1B(O)O,Cn1c(=O)c(Br)cc2cnn(-c3c(F)cccc3F)c21
CS,O=[N+]([O-])c1ccc(Cl)cc1
CCC(CC)c1cc(C)nn2c(-c3oc(Br)nc3C)c(C)nc12,CNC
CC(C)=CB1OC(C)(C)C(C)(C)O1,CCOC(=O)c1cccc(C)c1I
CC(=O)Nc1cccc(N)c1,CS(=O)c1ncc(C(N)=O)c(NC2(c3ccccc3)CC2)n1
CC1(C)OB(c2ccc(F)c(F)c2)OC1(C)C,COc1ccc(-c2nn(COCC[Si](C)(C)C)c3c2Cc2sc(Br)cc2-3)cc1
CCOC(CBr)OCC,Oc1cccc(Br)c1
CCOC(=O)Cn1c(Cl)nc2c(Cl)ccc(C(CC)CC)c21,Nc1ccc(Cl)cc1Cl
CCOc1nc(NC)nc2ccc(C=O)cc12,Cc1cccc(Cl)c1CNC1=NC(=O)CS1
CCOC(C)=O,C[C@@H](c1cc2cnn(C)c2cc1F)c1cnc2ccc(Cl)nn12
Fc1cnc(Cl)nc1NC1CCC[C@@]2(CO2)C1,[C-]#N
O=C1CCCCC1,O=C1Nc2ccccc2C1=O
CC(C)(C)OC(=O)N1CCC[C@H]1c1ncc(Br)[nH]1,CC(C)(C)OC(=O)N1[C@@H]2CC[C@@H](C2)[C@H]1c1nc2ccc(-c3ccc4c(c3)CCc3cc(B5OC(C)(C)C(C)(C)O5)ccc3-4)cc2[nH]1
COC(=O)C1CCNC1,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(Cl)c(-c2ccnn2C2CCCCO2)c1
CN1CCNCC1,Clc1nncc2cc(Br)ccc12
COc1c(C(=O)N[C@H](C)c2cccc(Br)c2)ccn(C)c1=O,OB(O)c1ccc(F)cc1
CC(C)CNC(=O)C(C)(C)c1ccc(Br)cc1,c1cc[nH]c1
CN1CCN(c2ccc(Nc3ncc4ccc(Br)n4n3)cc2)CC1,Sc1ccccc1
CCCc1c(OCc2ccccc2)ccc(C(C)=O)c1O,CCOC(=O)CCCBr
CSc1nccc(Cl)n1,c1ccc2[nH]cnc2c1
CC(C)(C)OC(=O)N1CC(CNc2nc(Cl)nc(N3CCOCC3)n2)C1,CC1(C)OB(c2ccc(N)cc2)OC1(C)C
CN(c1ccnc(Cl)n1)C1CCC2(CC1)CCN(C(=O)OC(C)(C)C)C2,Cc1c2ccc(N)cc2nn1C
Cc1ccc(S(=O)(=O)OC2CCC3(CC2)OCCO3)cc1,Nc1ncnc2[nH]nc(-c3ccc(Oc4ccccc4)cc3)c12
CC(C)(C)OC(=O)N1CC(C(=O)O)C1,NC(=NO)c1ccc(F)c(NC(=O)c2cnc3ccccn23)c1
O=Cc1ccc(Br)cc1F,OCCN1CCNCC1
COC(=O)c1ccc(C(C)(C)C)c(Br)c1,N#C[Cu]
CCc1ccc(Oc2ccc(Cl)nn2)cc1,Cc1cccc(N2CCNCC2)c1
O=C1CN(C(=O)c2cc(Br)c(-c3cccc(Cl)c3)s2)CN1,OB(O)c1ccc(F)c(Cl)c1
COc1ccc(S(=O)(=O)N[C@@H](C)c2cc(F)ccc2-c2ccccc2F)cc1,O
Nc1cc(O)c(Cl)cc1F,O=[N+]([O-])c1cccnc1Cl
Cn1c(Cl)nc2ccccc21,N[C@H]1C[C@H](n2c(=O)n(C3CC3)c3nccnc32)C1
C1COCCN1,Cc1cc(C#N)ccc1Br
CC(C)(C)OC(=O)n1cc(B2OC(C)(C)C(C)(C)O2)cn1,Cc1cc(Br)cc([N+](=O)[O-])c1
C=C(OCC)[Sn](CCCC)(CCCC)CCCC,Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C)CC4)cn3)ncc12
Brc1cccc(Br)n1,C=C(C)B(O)O
CCSc1nc2cc(C(F)(F)F)ccc2c(O)c1C(=O)NCc1cccc(F)c1,O=P(Cl)(Cl)Cl
CCOC(=O)c1ccc(Br)s1,OB(O)c1ccc(Cl)cc1
Nc1nc(Cl)cc(Cl)n1,OC(c1ccc(-c2ccoc2)cc1)C(F)(F)F
Fc1ccc(-c2cc(Cl)c3sccc3n2)cc1,c1c[nH]c(C2CCNCC2)n1
CCOCc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1,NC(N)=O
CN(C)C=C1C(=O)CCCC1=O,CSC(=N)N
CCC(CC)c1cc(C)nn2cc(C)nc12,Cc1noc(-c2ccccc2)c1Br
COC(OC)N(C)C,COc1cc(C)c([N+](=O)[O-])cn1
CCCC#N,Nc1ccccc1N1CCOCC1
C[Si](C)(C)N=[N+]=[N-],N#CCc1cccc(OCc2ccccc2)c1
CCOC(=O)c1ccc(Br)nc1,C[Sn](C)(C)c1ccccc1
COc1cnc(Cl)c2[nH]ccc12,c1nc[nH]n1
O=Cc1sccc1Br,O=S([O-])c1ccccn1
Brc1cccc(Br)n1,COC(=S)c1cc([Sn](C)(C)C)c(C)s1
CCC(CC)(c1ccc(C#CC(OCOC)(C(F)(F)F)C(F)(F)F)c(C)c1)c1ccc(B2OC(C)(C)C(C)(C)O2)c(C)c1,CCOC(=O)Cc1ccc(Br)nc1
CCI,COc1ccc(CNS(=O)(=O)c2ccc(C(=O)O)cc2)cc1
CCC(C#N)(c1ccc(Cl)cc1)n1ccc2c(NS(C)(=O)=O)cccc21,[N-]=[N+]=[N-]
COC(=O)c1ccccc1C1OOCC1I,O=C([O-])[O-]
CC(C)(C)OC(=O)N1CC(C(=O)O)C1,N#Cc1ccc(N)c(N)c1
CCCI,O=C1NC(=O)c2ccc(Br)cc2/C1=C/NCc1cc(O)cc(O)c1
